Advert Reference,Property Reference,Property Address,Bid Opening Date,Bid Closing Date,Number Of Bedrooms,Number Of Bedspaces,Total Bidders,Successful Bid Points,Ward Code,Ward Name,Lower Super Output Area Code,Lower Super Output Area Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
288723,29139,"Flat 83, Beaufort Court, 65 Maygrove Road, London, NW6 2DA",26/05/2016,30/05/2016,4,6,87,210,E05000132,Fortune Green,E01000876,,524935,184792,-0.199593,51.548198,"(51.548198, -0.199593)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186198,17659,"Flat 15, Cheriton, Queens Crescent, London, NW5 4EZ",03/08/2017,07/08/2017,1,2,93,330,E05000136,Haverstock,E01000900,,528144,184920,-0.153292,51.548629,"(51.548629, -0.153292)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186644,41494,"Flat F, 74 St Albans Road, London, NW5 1RH",28/01/2016,01/02/2016,3,6,301,430,E05000137,Highgate,E01000909,,528651,186484,-0.145413,51.562569,"(51.562569, -0.145413)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288505,31357,"Flat 9, 2 Hand Axe Yard, London, WC1X 8BD",14/09/2017,18/09/2017,3,5,268,290,E05000141,King's Cross,E01000939,,530443,182839,-0.120899,51.529404,"(51.529404, -0.120899)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186997,22416,"Flat 24, Flaxman Court, Flaxman Terrace, London, WC1H 9AR",28/01/2016,01/02/2016,1,2,166,480,E05000141,King's Cross,E01000942,,529958,182620,-0.127994,51.527545,"(51.527545, -0.127994)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184174,14470,"Flat 10, Tayler Court, Dorman Way, London, NW8 0SB",22/12/2016,02/01/2017,2,4,466,630,E05000144,Swiss Cottage,E01000961,,526541,183966,-0.176741,51.540417,"(51.540417, -0.176741)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191286,1074,"134 Maitland Park Road, London, NW3 2HE",03/03/2016,07/03/2016,3,5,317,800,E05000136,Haverstock,E01000902,,527974,184969,-0.155725,51.549108,"(51.549108, -0.155725)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196970,31936,"Flat 7, Rugmere, Ferdinand Street, London, NW1 8HE",25/08/2016,29/08/2016,3,5,242,350,E05000136,Haverstock,E01000904,,528413,184429,-0.149594,51.544156,"(51.544156, -0.149594)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108694,20747,"Flat 2, Wasdale, Cumberland Market, London, NW1 3QN",18/05/2017,22/05/2017,2,3,413,125,E05000142,Regent's Park,E01000951,,528880,182744,-0.143479,51.528907,"(51.528907, -0.143479)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186424,25298,"Flat 33, Durston, Grafton Road, London, NW5 4RH",02/11/2017,06/11/2017,3,5,232,340,E05000136,Haverstock,E01000901,,528375,185057,-0.149912,51.549808,"(51.549808, -0.149912)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194237,39959,"Flat C, 3 Loveridge Road, London, NW6 2DU",28/07/2016,01/08/2016,1,2,129,270,E05000145,West Hampstead,E01000974,,524919,184668,-0.199868,51.547087,"(51.547087, -0.199868)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192197,22602,"Flat 24, Woodfield, Parkhill Road, London, NW3 2YA",01/06/2017,05/06/2017,3,6,384,555,E05000134,Gospel Oak,E01000892,,527701,185217,-0.15957,51.551399,"(51.551399, -0.15957)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199466,38563,"Flat B,5 Gaisford Street,London,NW5 2EB",04/02/2016,08/02/2016,3,5,412,455,E05000131,Cantelowes,E01000870,,529098,184845,-0.139569,51.547738,"(51.547738, -0.139569)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191639,34823,"Flat A, 135 Prince Of Wales Road, London, NW5 3PU",17/08/2017,21/08/2017,0,1,102,250,E05000136,Haverstock,E01000905,,528204,184592,-0.152547,51.545668,"(51.545668, -0.152547)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196043,40357,"Flat C, 6 Calthorpe Street, London, WC1X 0JS",12/01/2017,16/01/2017,2,4,473,680,E05000138,Holborn and Covent Garden,E01000920,,530836,182296,-0.115439,51.524433,"(51.524433, -0.115439)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189880,13944,"Flat 1, Somerton House, Duke's Road, London, WC1H 9AA",09/11/2017,13/11/2017,1,2,90,300,E05000141,King's Cross,E01000942,,529884,182639,-0.129053,51.527733,"(51.527733, -0.129053)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288670,29678,"Flat 19, Tapestry Apartments, 3 Canal Reach, London, N1C 4BA",29/09/2016,03/10/2016,2,4,380,420,E05000143,St Pancras and Somers Town,E01000953,,529910,183793,-0.128227,51.5381,"(51.5381, -0.128227)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194586,40410,"65C Rowley Way, London, NW8 0SJ",19/05/2016,23/05/2016,1,2,102,300,E05000140,Kilburn,E01000935,,526041,183910,-0.183967,51.540026,"(51.540026, -0.183967)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288762,28675,"Flat 6, Princes Park Apartments North, 52 Prince Of Wales Road, London, NW5 3LN",11/02/2016,15/02/2016,2,4,379,600,E05000136,Haverstock,E01000901,,528577,184740,-0.147117,51.546913,"(51.546913, -0.147117)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185626,33826,"Flat 9, Hickes House, Harben Road, London, NW6 4RP",01/09/2016,05/09/2016,0,1,150,530,E05000144,Swiss Cottage,E01000961,,526533,184346,-0.176719,51.543834,"(51.543834, -0.176719)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186871,21753,"Flat 22, Great Russell Mansions, 59-61 Great Russell Street, London, WC1B 3BE",13/04/2017,17/04/2017,4,8,91,1985,E05000138,Holborn and Covent Garden,E01000918,,530183,181611,-0.125125,51.518426,"(51.518426, -0.125125)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198677,13577,"Flat 1, Blemundsbury, Dombey Street, London, WC1N 3PF",27/07/2017,31/07/2017,3,5,189,230,E05000138,Holborn and Covent Garden,E01000915,,530579,181919,-0.119306,51.521103,"(51.521103, -0.119306)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
190306,18524,"Flat 16, Tonbridge House, Tonbridge Street, London, WC1H 9PA",27/07/2017,31/07/2017,1,2,108,400,E05000141,King's Cross,E01000941,,530237,182643,-0.123966,51.527688,"(51.527688, -0.123966)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104783,6607,"64 Broadfield Lane,London,NW1 9YJ",08/12/2016,12/12/2016,0,1,126,190,E05000131,Cantelowes,E01000868,,530011,184240,-0.126632,51.542092,"(51.542092, -0.126632)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182366,41373,"89E Rowley Way, London, NW8 0SN",19/05/2016,23/05/2016,1,2,127,437,E05000140,Kilburn,E01000934,,526150,183955,-0.18238,51.540406,"(51.540406, -0.18238)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106247,37938,"Flat B, 27 Mornington Terrace, London, NW1 7RS",12/01/2017,16/01/2017,0,1,108,195,E05000142,Regent's Park,E01000948,,528866,183456,-0.143421,51.535308,"(51.535308, -0.143421)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288740,29793,"Flat B, 8 Shoot-Up Hill, London, NW2 3QN",06/10/2016,10/10/2016,2,4,442,310,E05000132,Fortune Green,E01000876,,524657,184681,-0.203639,51.547262,"(51.547262, -0.203639)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191434,19821,"Flat 19, Greatcroft, Cromer Street, London, WC1H 8LF",19/05/2016,23/05/2016,1,2,146,480,E05000141,King's Cross,E01000939,,530404,182649,-0.121557,51.527703,"(51.527703, -0.121557)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192488,20899,"Flat 20, Durdans House, Kentish Town Road, London, NW1 9RA",01/12/2016,05/12/2016,2,3,386,560,E05000131,Cantelowes,E01000866,,528981,184425,-0.141383,51.543993,"(51.543993, -0.141383)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189962,16429,"Flat 13, Edward Bond House, Cromer Street, London, WC1H 8DT",09/11/2017,13/11/2017,2,4,299,525,E05000141,King's Cross,E01000939,,530387,182684,-0.121789,51.528022,"(51.528022, -0.121789)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106646,18994,"Flat 17, Scafell, Stanhope Street, London, NW1 3QB",11/08/2016,15/08/2016,4,7,92,600,E05000142,Regent's Park,E01000951,,529080,182791,-0.140581,51.529283,"(51.529283, -0.140581)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288642,29940,"Flat B, 51 Iverson Road, London, NW6 2QT",24/11/2016,28/11/2016,1,2,132,430,E05000145,West Hampstead,E01000974,,524923,184625,-0.199825,51.5467,"(51.5467, -0.199825)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195577,12,"1 Beswick Mews, London, NW6 1XT",02/02/2017,06/02/2017,1,2,150,180,E05000145,West Hampstead,E01000972,,525890,184992,-0.185756,51.549783,"(51.549783, -0.185756)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188466,26021,"Flat 37, Dorney, Adelaide Road, London, NW3 3PP",19/10/2017,23/10/2017,1,0,122,390,E05000128,Belsize,E01000846,,527370,184400,-0.164637,51.544131,"(51.544131, -0.164637)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196439,4066,"31 South End Close,London,NW3 2RB",18/08/2016,22/08/2016,1,2,165,550,E05000134,Gospel Oak,E01000887,,527319,185590,-0.164941,51.554837,"(51.554837, -0.164941)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188279,28564,"Flat 5, 50 Fitzjohn's Avenue, London, NW3 5LT",28/07/2016,01/08/2016,3,6,354,1365,E05000133,Frognal and Fitzjohns,E01000881,,526599,185063,-0.17551,51.550263,"(51.550263, -0.17551)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
187015,36169,"Flat A, 51 Bassett Street, London, NW5 4PG",26/05/2016,30/05/2016,1,2,219,470,E05000136,Haverstock,E01000900,,528254,184914,-0.151709,51.54855,"(51.54855, -0.151709)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198346,34289,"Flat 95, Templar House, Shoot-Up Hill, London, NW2 3TB",17/03/2016,21/03/2016,0,1,135,225,E05000132,Fortune Green,E01000876,,524639,184824,-0.203848,51.548551,"(51.548551, -0.203848)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288754,28820,"Flat 11, 159-164 Royal College Street, NW1 0TA",21/07/2016,25/07/2016,3,6,250,375,E05000143,St Pancras and Somers Town,E01000957,,529288,184054,-0.13712,51.540586,"(51.540586, -0.13712)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
105172,33840,"Flat 9,Inwood Court,Rochester Square,London,NW1 9HS",15/09/2016,19/09/2016,1,2,166,480,E05000131,Cantelowes,E01000867,,529393,184314,-0.135512,51.542898,"(51.542898, -0.135512)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288749,28815,"Flat C, 86 Shoot-Up Hill, London, NW2 3XJ",10/03/2016,14/03/2016,2,4,421,455,E05000132,Fortune Green,E01000872,,524281,185174,-0.208885,51.551775,"(51.551775, -0.208885)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286137,31071,"Flat 3, 2A Belmont Street, London, NW1 8HH",03/08/2017,07/08/2017,1,2,70,690,E05000136,Haverstock,E01000904,,528317,184403,-0.150987,51.543944,"(51.543944, -0.150987)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
109338,29398,"Flat 52, Langdale, Stanhope Street, London, NW1 3RA",28/01/2016,01/02/2016,3,5,247,312,E05000142,Regent's Park,E01000950,,529074,182956,-0.140607,51.530768,"(51.530768, -0.140607)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288757,28722,"Flat B, 49 Eton Avenue, London, NW3 3EP",25/02/2016,29/02/2016,1,2,161,340,E05000128,Belsize,E01000844,,527069,184438,-0.168961,51.54454,"(51.54454, -0.168961)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288536,31109,"Apartment 12, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,1,2,107,200,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194356,3762,"3 Bransdale Close, London, NW6 4QH",14/04/2016,18/04/2016,3,5,374,910,E05000140,Kilburn,E01000933,,525469,183925,-0.192205,51.540288,"(51.540288, -0.192205)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288778,29119,"Flat 2, 330 Finchley Road, London, NW3 7AW",21/01/2016,25/01/2016,3,5,229,750,E05000133,Frognal and Fitzjohns,E01000878,,525214,185815,-0.195208,51.55733,"(51.55733, -0.195208)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184723,21108,"Flat 20, Waxham, Mansfield Road, London, NW3 2JH",01/09/2016,05/09/2016,3,5,288,640,E05000134,Gospel Oak,E01000890,,527854,185408,-0.157295,51.55308,"(51.55308, -0.157295)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182946,24576,"Flat 3, Willow House, Maitland Park Villas, London, NW3 2EB",03/08/2017,07/08/2017,4,7,80,555,E05000136,Haverstock,E01000903,,527856,184810,-0.157483,51.547706,"(51.547706, -0.157483)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288620,30114,"Flat 2, 71 Endell Street, London, WC2H 9AJ",19/01/2017,23/01/2017,1,2,83,630,E05000138,Holborn and Covent Garden,E01000919,,530152,181231,-0.125711,51.515018,"(51.515018, -0.125711)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189766,15671,"Flat 12, Burnham, Fellows Road, London, NW3 3JR",16/02/2017,20/02/2017,1,2,129,550,E05000128,Belsize,E01000847,,527038,184321,-0.16945,51.543496,"(51.543496, -0.16945)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193346,21674,"Flat 22,Carnegie House,New End,London,NW3 1JE",30/06/2016,04/07/2016,4,8,116,800,E05000135,Hampstead Town,E01000895,,526523,186006,-0.176267,51.558754,"(51.558754, -0.176267)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198637,2456,"20 Goldsmiths Place, Springfield Lane, London, NW6 5UG",15/09/2016,19/09/2016,3,5,288,750,E05000140,Kilburn,E01000930,,525597,183593,-0.190478,51.537276,"(51.537276, -0.190478)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103461,21472,"Flat 21, Seymour House, Churchway, London, NW1 1LR",22/09/2016,26/09/2016,2,4,488,350,E05000143,St Pancras and Somers Town,E01000956,,529789,182772,-0.130372,51.52895,"(51.52895, -0.130372)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108059,16004,"Flat 12, Tilehurst, Albany Street, London, NW1 3PN",20/04/2017,24/04/2017,0,0,130,220,E05000142,Regent's Park,E01000944,,528892,182555,-0.143376,51.527205,"(51.527205, -0.143376)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288536,31121,"Apartment 3, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,1,2,107,150,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186904,18921,"Flat 17, Lenham, Queens Crescent, London, NW5 4EF",31/03/2016,04/04/2016,3,5,286,650,E05000136,Haverstock,E01000900,,528141,184813,-0.153374,51.547668,"(51.547668, -0.153374)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181748,28361,"Flat 48, Whitton, 89 King Henry's Road, London, NW3 3RE",22/09/2016,26/09/2016,2,4,508,600,E05000130,Camden Town with Primrose Hill,E01000857,,527591,184163,-0.161537,51.541951,"(51.541951, -0.161537)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288536,31111,"Apartment 4, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,1,2,107,200,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106635,24342,"Flat 3, Kendal, Augustus Street, London, NW1 3TD",10/08/2017,14/08/2017,2,3,415,550,E05000142,Regent's Park,E01000949,,528955,182946,-0.142325,51.530705,"(51.530705, -0.142325)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199242,15054,"Flat 11, Greenaway House, Boundary Road, London, NW8 0HT",28/07/2016,01/08/2016,2,4,372,560,E05000140,Kilburn,E01000934,,526109,183811,-0.183022,51.539121,"(51.539121, -0.183022)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198585,15462,"Flat 115, Denton, Malden Crescent, London, NW1 8BL",28/01/2016,01/02/2016,2,4,344,455,E05000136,Haverstock,E01000905,,528265,184558,-0.15168,51.545348,"(51.545348, -0.15168)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194856,23666,"Flat 28, Widford, Castle Road, London, NW1 8TE",13/10/2016,17/10/2016,4,7,100,530,E05000130,Camden Town with Primrose Hill,E01000858,,528737,184543,-0.144882,51.545106,"(51.545106, -0.144882)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
190686,15758,"Flat 12,Fitzjohns Mansions,10 Netherhall Gardens,London,NW3 5RS",24/03/2016,28/03/2016,1,2,182,590,E05000133,Frognal and Fitzjohns,E01000883,,526371,184828,-0.178881,51.548202,"(51.548202, -0.178881)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108348,36358,"Flat A,6 Stanhope Parade,London,NW1 3RD",18/02/2016,22/02/2016,2,4,426,580,E05000142,Regent's Park,E01000949,,529033,182925,-0.141209,51.530498,"(51.530498, -0.141209)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196567,37762,"Flat B, 227 West End Lane, London, NW6 1XJ",05/10/2017,09/10/2017,1,2,144,750,E05000145,West Hampstead,E01000973,,525503,184871,-0.191378,51.548782,"(51.548782, -0.191378)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193823,7241,"77 South End Close,London,NW3 2RD",01/06/2017,05/06/2017,2,3,367,500,E05000134,Gospel Oak,E01000887,,527384,185611,-0.163997,51.555011,"(51.555011, -0.163997)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189762,28955,"Flat 5, Primrose Hill Court, King Henry's Road, London, NW3 3QS",27/07/2017,31/07/2017,3,0,265,625,E05000130,Camden Town with Primrose Hill,E01000857,,527683,184184,-0.160204,51.542119,"(51.542119, -0.160204)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106240,37388,"Flat B, 15 Mornington Crescent, London, NW1 7RG",24/08/2017,28/08/2017,1,1,83,420,E05000142,Regent's Park,E01000947,,529063,183228,-0.140666,51.533214,"(51.533214, -0.140666)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188100,3773,"3 Churchill Road, London, NW5 1AN",22/12/2016,02/01/2017,0,1,130,350,E05000137,Highgate,E01000911,,528948,185969,-0.141319,51.557873,"(51.557873, -0.141319)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192454,21191,"Flat 207, Webheath, Netherwood Street, London, NW6 2JU",04/05/2017,08/05/2017,2,0,440,690,E05000140,Kilburn,E01000931,,525035,184492,-0.198258,51.54548,"(51.54548, -0.198258)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180366,30051,"Flat 58, Radcliffe House, Portpool Lane, London, EC1N 7TY",18/08/2016,22/08/2016,1,2,98,360,E05000138,Holborn and Covent Garden,E01000916,,531127,182012,-0.111378,51.521812,"(51.521812, -0.111378)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288645,29944,"Flat 5, 163 - 164 Iverson Road, Kilburn, NW6 2RB",24/11/2016,28/11/2016,3,4,242,300,E05000145,West Hampstead,E01000973,,525332,184779,-0.193875,51.547993,"(51.547993, -0.193875)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288656,29857,"Flat 14, Banyan House, Lithos Road, London, NW3 6ES",03/11/2016,07/11/2016,1,2,130,187,E05000145,West Hampstead,E01000972,,525900,184914,-0.18564,51.54908,"(51.54908, -0.18564)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
102524,31485,"Flat 69, Monica Shaw Court, 31 Purchese Street, London, NW1 1EY",25/05/2017,29/05/2017,1,2,130,400,E05000143,St Pancras and Somers Town,E01000953,,529808,183102,-0.129977,51.531911,"(51.531911, -0.129977)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286054,29832,"Flat B, 82 Fordwych Road, London, NW2 3TJ",27/10/2016,31/10/2016,2,4,411,635,E05000132,Fortune Green,E01000875,,524525,185001,-0.205429,51.550167,"(51.550167, -0.205429)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192174,24999,"Flat 31, St Pancras Court, High Road, East Finchley, London, N2 9AE",31/08/2017,04/09/2017,3,5,189,330,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196152,16977,"Flat 14,Beckington,Warden Road,London,NW5 4RD",27/07/2017,31/07/2017,2,3,277,525,E05000136,Haverstock,E01000901,,528486,184908,-0.148367,51.548444,"(51.548444, -0.148367)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184155,27550,"Flat 42, Templar House, Shoot-Up Hill, London, NW2 3TD",09/06/2016,13/06/2016,3,5,252,430,E05000132,Fortune Green,E01000876,,524584,184805,-0.204648,51.548392,"(51.548392, -0.204648)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288506,31349,"Flat 5, 2 Hand Axe Yard, London, WC1X 8BD",14/09/2017,18/09/2017,2,3,354,440,E05000141,King's Cross,E01000939,,530443,182839,-0.120899,51.529404,"(51.529404, -0.120899)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103299,22662,"Flat 25,Brook House,Cranleigh Street,London,NW1 1NU",02/11/2017,06/11/2017,1,2,130,400,E05000143,St Pancras and Somers Town,E01000954,,529380,183179,-0.136116,51.532702,"(51.532702, -0.136116)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288743,28971,"Flat A, 17 Lyndhurst Road, London, NW3 5NL",31/03/2016,04/04/2016,2,4,495,1020,E05000135,Hampstead Town,E01000898,,526865,185346,-0.171574,51.552746,"(51.552746, -0.171574)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182026,25568,"Flat 34, Rowstock, Oseney Crescent, London, NW5 2BA",15/12/2016,02/01/2017,1,2,132,400,E05000139,Kentish Town,E01000925,,529536,184966,-0.133211,51.548725,"(51.548725, -0.133211)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184577,22440,"Flat 24, Greatfield, Peckwater Street, London, NW5 2UE",19/05/2016,23/05/2016,3,5,243,280,E05000139,Kentish Town,E01000925,,529357,185093,-0.135744,51.549907,"(51.549907, -0.135744)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
